data,id_treballador,hora,posicio,clasificador,familia
2025-04-25,1,10:00,Destinos mesa 7,4,2
2025-04-25,1,11:00,Precintadora shipping,3,4
2025-04-25,1,12:00,Inducciones mesa 10,4,1
2025-04-25,1,13:00,Sequence 4,4,6
2025-04-25,1,6:00,Inducciones mesa 1,2,1
2025-04-25,1,7:00,Sequence 4,4,6
2025-04-25,1,8:00,Inducciones mesa 1,2,1
2025-04-25,1,9:00,Destinos mesa 9,3,2
2025-04-25,3,10:00,Inducciones mesa 1,2,1
2025-04-25,3,11:00,Inducciones mesa 1,2,1
2025-04-25,3,12:00,Inducciones mesa 1,2,1
2025-04-25,3,13:00,Inducciones mesa 2,2,1
2025-04-25,3,6:00,Destinos mesa 15,2,2
2025-04-25,3,7:00,Destinos mesa 19,2,2
2025-04-25,3,8:00,Inducciones mesa 1,2,1
2025-04-25,3,9:00,Destinos mesa 13,2,2
2025-04-25,4,10:00,Inducciones mesa 1,2,1
2025-04-25,4,11:00,Destinos mesa 6,2,2
2025-04-25,4,12:00,Inducciones mesa 1,2,1
2025-04-25,4,13:00,Inducciones mesa 1,2,1
2025-04-25,4,6:00,Destinos mesa 10,2,2
2025-04-25,4,7:00,Inducciones mesa 1,2,1
2025-04-25,4,8:00,Inducciones mesa 1,2,1
2025-04-25,4,9:00,Inducciones mesa 1,2,1
2025-04-25,8,10:00,Inducciones mesa 1,2,1
2025-04-25,8,11:00,Inducciones mesa 1,2,1
2025-04-25,8,12:00,Inducciones mesa 5,2,1
2025-04-25,8,13:00,Chequeo,2,3
2025-04-25,8,6:00,Inducciones mesa 1,2,1
2025-04-25,8,7:00,Inducciones mesa 1,2,1
2025-04-25,8,8:00,Inducciones mesa 1,2,1
2025-04-25,8,9:00,Inducciones mesa 1,2,1
2025-04-25,9,10:00,Inducciones mesa 1,2,1
2025-04-25,9,11:00,Inducciones mesa 1,2,1
2025-04-25,9,12:00,Inducciones mesa 7,2,1
2025-04-25,9,13:00,Inducciones mesa 12,2,1
2025-04-25,9,6:00,Inducciones mesa 1,2,1
2025-04-25,9,7:00,Inducciones mesa 18,2,1
2025-04-25,9,8:00,Destinos mesa 9,2,2
2025-04-25,9,9:00,Destinos mesa 20,2,2
2025-04-25,10,10:00,Inducciones mesa 1,2,1
2025-04-25,10,11:00,Inducciones mesa 1,2,1
2025-04-25,10,12:00,Inducciones mesa 1,2,1
2025-04-25,10,13:00,Inducciones mesa 4,2,1
2025-04-25,10,6:00,Destinos mesa 14,2,2
2025-04-25,10,7:00,Inducciones mesa 1,2,1
2025-04-25,10,8:00,Inducciones mesa 2,2,1
2025-04-25,10,9:00,Destinos mesa 12,2,2
2025-04-25,11,10:00,Inducciones mesa 4,2,1
2025-04-25,11,11:00,Inducciones mesa 3,3,1
2025-04-25,11,12:00,Precintadora shipping,3,4
2025-04-25,11,13:00,Sequence 3,3,6
2025-04-25,11,6:00,Inducciones mesa 2,2,1
2025-04-25,11,7:00,Destinos mesa 20,2,2
2025-04-25,11,8:00,Inducciones mesa 2,2,1
2025-04-25,11,9:00,Inducciones mesa 1,2,1
2025-04-25,13,10:00,Inducciones mesa 1,2,1
2025-04-25,13,11:00,Destinos mesa 6,3,2
2025-04-25,13,12:00,Sequence 3,3,6
2025-04-25,13,13:00,Destinos mesa 3,4,2
2025-04-25,13,6:00,Inducciones mesa 1,2,1
2025-04-25,13,7:00,Inducciones mesa 1,2,1
2025-04-25,13,8:00,Inducciones mesa 1,2,1
2025-04-25,13,9:00,Inducciones mesa 2,2,1
2025-04-25,24,10:00,Inducciones mesa 1,2,1
2025-04-25,24,11:00,Inducciones mesa 2,2,1
2025-04-25,24,12:00,Inducciones mesa 2,2,1
2025-04-25,24,13:00,Inducciones mesa 1,2,1
2025-04-25,24,6:00,Inducciones mesa 1,2,1
2025-04-25,24,7:00,Destinos mesa 3,2,2
2025-04-25,24,8:00,Inducciones mesa 1,2,1
2025-04-25,24,9:00,Inducciones mesa 1,2,1
2025-04-25,25,10:00,Inducciones mesa 2,2,1
2025-04-25,25,11:00,Inducciones mesa 1,2,1
2025-04-25,25,12:00,Chequeo,2,3
2025-04-25,25,13:00,Destinos mesa 12,2,2
2025-04-25,25,6:00,Rampas/cajas vacias,3,7
2025-04-25,25,7:00,Inducciones mesa 8,2,1
2025-04-25,25,8:00,Inducciones mesa 2,2,1
2025-04-25,25,9:00,Inducciones mesa 1,2,1
2025-04-25,28,10:00,Inducciones mesa 2,2,1
2025-04-25,28,11:00,Inducciones mesa 2,2,1
2025-04-25,28,12:00,Inducciones mesa 1,2,1
2025-04-25,28,13:00,Inducciones mesa 1,2,1
2025-04-25,28,6:00,Inducciones mesa 2,2,1
2025-04-25,28,7:00,Inducciones mesa 1,2,1
2025-04-25,28,8:00,Inducciones mesa 1,2,1
2025-04-25,28,9:00,Inducciones mesa 1,2,1
2025-04-25,29,10:00,Inducciones mesa 1,2,1
2025-04-25,29,11:00,Inducciones mesa 1,2,1
2025-04-25,29,12:00,Inducciones mesa 2,2,1
2025-04-25,29,13:00,Inducciones mesa 2,2,1
2025-04-25,29,6:00,Inducciones mesa 1,2,1
2025-04-25,29,7:00,Inducciones mesa 1,2,1
2025-04-25,29,8:00,Inducciones mesa 1,2,1
2025-04-25,29,9:00,Destinos mesa 8,2,2
2025-04-25,32,10:00,Inducciones mesa 2,2,1
2025-04-25,32,11:00,Chequeo,2,3
2025-04-25,32,12:00,Inducciones mesa 1,2,1
2025-04-25,32,13:00,Inducciones mesa 1,2,1
